customer_id,recency,frequency,monetary,R,F,M,RFM_Score,Segment
12346.0,328,2,0.0,5,1,1,511,Others
12347.0,41,7,4310.0,3,3,5,335,Others
12348.0,77,4,1797.24,3,2,4,324,Others
12349.0,20,1,1757.55,2,1,4,214,Others
12350.0,313,1,334.40000000000003,5,1,2,512,Others
12352.0,74,11,1545.41,3,4,4,344,New Customers
12353.0,205,1,89.0,5,1,1,511,Others
12354.0,234,1,1079.4,5,1,4,514,Others
12355.0,97,1,459.40000000000003,4,1,2,412,Others
12356.0,24,3,2811.43,2,2,5,225,Others
12357.0,183,1,6207.67,5,1,5,515,Others
12358.0,4,2,1168.06,1,1,4,114,Others
12359.0,10,6,6182.9800000000005,1,3,5,135,Others
12360.0,54,3,2662.06,3,2,5,325,Others
12361.0,290,1,189.9,5,1,1,511,Others
12362.0,13,13,5154.58,1,4,5,145,Others
12363.0,37,2,552.0,2,1,3,213,Others
12364.0,42,4,1313.1,3,2,4,324,Others
12365.0,294,3,320.69,5,2,2,522,Others
12367.0,213,1,168.9,5,1,1,511,Others
12370.0,53,4,3541.94,3,2,5,325,Others
12371.0,31,2,1887.96,2,1,4,214,Others
12372.0,36,3,1298.04,2,2,4,224,Others
12373.0,344,1,364.6,5,1,2,512,Others
12374.0,27,1,742.9300000000001,2,1,3,213,Others
12375.0,12,3,455.42,1,2,2,122,At Risk
12377.0,318,2,1628.1200000000001,5,1,4,514,Others
12378.0,307,1,4008.62,5,1,5,515,Others
12379.0,83,3,850.29,4,2,3,423,Others
12380.0,23,5,2720.56,2,3,5,235,Others
12381.0,1,6,1803.96,1,3,4,134,Need Attention
12383.0,10,6,1839.31,1,3,4,134,Need Attention
12384.0,30,3,566.16,2,2,3,223,Others
12386.0,193,2,401.9,5,1,2,512,Others
12388.0,17,6,2780.6600000000003,1,3,5,135,Others
12390.0,81,1,549.84,4,1,3,413,Others
12391.0,23,1,439.66,2,1,2,212,Others
12393.0,40,4,1582.6000000000001,2,2,4,224,Others
12394.0,154,2,1272.48,4,1,4,414,Others
12395.0,6,15,2998.28,1,4,5,145,Others
12397.0,137,2,2409.9,4,1,5,415,Others
12398.0,47,1,1635.6599999999999,3,1,4,314,Others
12399.0,3,4,1108.65,1,2,4,124,Others
12401.0,100,1,84.3,4,1,1,411,Others
12402.0,326,1,225.60000000000002,5,1,1,511,Others
12403.0,51,2,409.7,3,1,2,312,Others
12405.0,150,1,1710.39,4,1,4,414,Others
12406.0,23,3,3280.75,2,2,5,225,Others
12407.0,51,5,1708.12,3,3,4,334,New Customers
12408.0,129,9,2842.57,4,4,5,445,Potential Loyalists
12409.0,66,7,11056.93,3,3,5,335,Others
12410.0,39,3,681.08,2,2,3,223,Others
12412.0,76,3,1226.88,3,2,4,324,Others
12413.0,10,5,694.15,1,3,3,133,Need Attention
12414.0,189,3,562.4100000000001,5,2,3,523,Others
12415.0,26,26,123725.45,2,4,5,245,Others
12417.0,41,12,3578.8,3,4,5,345,Others
12418.0,114,1,668.58,4,1,3,413,Others
12420.0,154,1,600.39,4,1,3,413,Others
12421.0,17,5,806.27,1,3,3,133,Need Attention
