customer_id,recency,frequency,monetary,R,F,M,RFM_Score,Segment,cluster
12346.0,328,2,0.0,5,1,1,511,Others,0
12347.0,41,7,4310.0,3,3,5,335,Others,0
12348.0,77,4,1797.24,3,2,4,324,Others,0
12349.0,20,1,1757.55,2,1,4,214,Others,0
12350.0,313,1,334.40000000000003,5,1,2,512,Others,0
12352.0,74,11,1545.41,3,4,4,344,New Customers,0
12353.0,205,1,89.0,5,1,1,511,Others,0
12354.0,234,1,1079.4,5,1,4,514,Others,0
12355.0,97,1,459.4,4,1,2,412,Others,0
12356.0,24,3,2811.43,2,2,5,225,Others,0
12357.0,183,1,6207.67,5,1,5,515,Others,0
12358.0,4,2,1168.06,1,1,4,114,Others,0
12359.0,10,6,6182.9800000000005,1,3,5,135,Others,0
12360.0,54,3,2662.06,3,2,5,325,Others,0
12361.0,290,1,189.9,5,1,1,511,Others,0
12362.0,13,13,5154.58,1,4,5,145,Others,0
12363.0,37,2,552.0,2,1,3,213,Others,0
12364.0,42,4,1313.1,3,2,4,324,Others,0
12365.0,294,3,320.69,5,2,2,522,Others,0
12367.0,213,1,168.9,5,1,1,511,Others,0
12370.0,53,4,3541.94,3,2,5,325,Others,0
12371.0,31,2,1887.96,2,1,4,214,Others,0
12372.0,36,3,1298.04,2,2,4,224,Others,0
12373.0,344,1,364.6,5,1,2,512,Others,0
12374.0,27,1,742.9300000000001,2,1,3,213,Others,0
12375.0,12,3,455.42,1,2,2,122,At Risk,0
12377.0,318,2,1628.12,5,1,4,514,Others,0
12378.0,307,1,4008.62,5,1,5,515,Others,0
12379.0,83,3,850.29,4,2,3,423,Others,0
12380.0,23,5,2720.56,2,3,5,235,Others,0
12381.0,1,6,1803.96,1,3,4,134,Need Attention,0
12383.0,10,6,1839.31,1,3,4,134,Need Attention,0
12384.0,30,3,566.16,2,2,3,223,Others,0
12386.0,193,2,401.9,5,1,2,512,Others,0
12388.0,17,6,2780.6600000000003,1,3,5,135,Others,0
12390.0,81,1,549.84,4,1,3,413,Others,0
12391.0,23,1,439.66,2,1,2,212,Others,0
12393.0,40,4,1582.6,2,2,4,224,Others,0
12394.0,154,2,1272.48,4,1,4,414,Others,0
12395.0,6,15,2998.28,1,4,5,145,Others,0
12397.0,137,2,2409.9,4,1,5,415,Others,0
12398.0,47,1,1635.66,3,1,4,314,Others,0
12399.0,3,4,1108.65,1,2,4,124,Others,0
12401.0,100,1,84.3,4,1,1,411,Others,0
12402.0,326,1,225.6,5,1,1,511,Others,0
12403.0,51,2,409.7,3,1,2,312,Others,0
12405.0,150,1,1710.39,4,1,4,414,Others,0
12406.0,23,3,3280.75,2,2,5,225,Others,0
12407.0,51,5,1708.12,3,3,4,334,New Customers,0
12408.0,129,9,2842.57,4,4,5,445,Potential Loyalists,0
12409.0,66,7,11056.93,3,3,5,335,Others,0
12410.0,39,3,681.08,2,2,3,223,Others,0
12412.0,76,3,1226.88,3,2,4,324,Others,0
12413.0,10,5,694.15,1,3,3,133,Need Attention,0
12414.0,189,3,562.4100000000001,5,2,3,523,Others,0
12417.0,41,12,3578.8,3,4,5,345,Others,0
12418.0,114,1,668.58,4,1,3,413,Others,0
12420.0,154,1,600.39,4,1,3,413,Others,0
12421.0,17,5,806.27,1,3,3,133,Need Attention,0
12422.0,170,3,803.5600000000001,4,2,3,423,Others,0
12423.0,90,9,1849.11,4,4,4,444,Potential Loyalists,0
12424.0,164,2,1760.96,4,1,4,414,Others,0
12425.0,79,1,777.2,3,1,3,313,Others,0
12426.0,196,1,582.73,5,1,3,513,Others,0
12427.0,13,5,708.37,1,3,3,133,Need Attention,0
12428.0,27,12,7877.2,2,4,5,245,Others,0
12429.0,10,4,3750.4,1,2,5,125,Others,0
12430.0,45,1,256.4,3,1,2,312,Others,0
12431.0,3,18,6348.89,1,4,5,145,Others,0
12432.0,44,5,5059.32,3,3,5,335,Others,0
12433.0,11,7,13375.87,1,3,5,135,Others,0
12434.0,86,4,765.19,4,2,3,423,Others,0
12435.0,81,2,7829.89,4,1,5,415,Others,0
12436.0,337,1,509.01,5,1,3,513,Others,0
12437.0,10,19,4896.66,1,4,5,145,Others,0
12438.0,16,2,2906.85,1,1,5,115,Others,0
12441.0,487,1,173.55,5,1,1,511,Others,0
12442.0,182,1,172.06,4,1,1,411,Others,0
12444.0,1,5,5005.46,1,3,5,135,Others,0
12445.0,23,1,133.4,2,1,1,211,Others,0
12446.0,59,1,1002.31,3,1,4,314,Others,0
12447.0,68,1,476.49,3,1,3,313,Others,0
12448.0,46,1,449.45,3,1,2,312,Others,0
12449.0,24,4,4067.29,2,2,5,225,Others,0
12450.0,175,2,197.88,4,1,1,411,Others,0
12451.0,12,6,8933.52,1,3,5,135,Others,0
12452.0,18,3,428.5700000000001,1,2,2,122,At Risk,0
12453.0,136,1,707.09,4,1,3,413,Others,0
12454.0,55,2,5.684341886080803e-14,3,1,1,311,Others,0
12455.0,75,6,2466.86,3,3,5,335,Others,0
12456.0,46,4,3153.89,3,2,5,325,Others,0
12457.0,1,12,1917.78,1,4,4,144,Need Attention,0
12458.0,73,2,947.4,3,1,4,314,Others,0
12461.0,126,2,826.88,4,1,3,413,Others,0
12462.0,20,4,1124.01,2,2,4,224,Others,0
